('s10', 'Business Writing') , 6
('s2', 'Article Writing') , 46
('s4', 'Technical Writing') , 25
('s5', 'Short Stories') , 4
('s6', 'Report Writing') , 20
('s7', 'Article Rewriting') , 15
('s8', 'Content Writing') , 22
('s9', 'Proofreading') , 16
('s3', '3D Rendering') , 23
('s4', 'Maya') , 2
('s5', '3ds Max') , 9
('s6', 'Animation') , 17
('s9', '3D Model Maker') , 1
('s1', 'Technical Writing') , 6
('s2', 'Javascript') , 47
('s7', 'Medical') , 1
('s8', 'Research Writing') , 7
('s4', 'Sticker Design') , 2
('s5', 'Vectorization') , 2
('s10', 'Video Services') , 3
('s4', 'Arts & Crafts') , 5
('s6', 'Illustration') , 22
('s7', 'WordPress') , 60
('s8', 'Banner Design') , 37
('s10', 'Javascript') , 32
('s9', 'CSS3') , 3
('s1', 'iPhone') , 18
('s10', 'SQL') , 16
('s3', 'Objective C') , 7
('s4', 'Microsoft Office') , 3
('s5', 'Mobile App Testing') , 2
('s6', 'Swift') , 7
('s7', 'iPad') , 7
('s8', 'PHP') , 31
('s9', 'Graphic Design') , 34
('s2', 'English (UK)') , 10
('s3', 'Romanian') , 2
('s2', 'Creative Writing') , 5
('s4', 'Article Writing') , 26
('s10', 'Plugin') , 2
('s8', 'PSD to HTML') , 20
('s1', 'Data Processing') , 9
('s6', 'Icon Design') , 8
('s5', 'Blog') , 12
('s6', 'Translation') , 12
('s7', 'Content Writing') , 10
('s8', 'Technical Writing') , 17
('s9', 'Business Writing') , 5
('s10', 'Open Cart') , 1
('s6', 'WooCommerce') , 9
('s9', 'Web Hosting') , 10
('s3', 'Caricature & Cartoons') , 13
('s7', 'Arts & Crafts') , 9
('s8', 'Concept Design') , 2
('s1', 'AutoCAD') , 24
('s10', 'Photoshop') , 22
('s2', 'CAD/CAM') , 6
('s5', 'Drafting') , 5
('s6', 'Engineering') , 14
('s8', 'Engineering Drawing') , 2
('s9', 'Illustration') , 12
('s1', 'Virtual Assistant') , 6
('s10', 'Research') , 22
('s3', 'Research Writing') , 21
('s6', 'Technical Writing') , 17
('s7', 'Mac OS') , 4
('s9', 'Engineering') , 5
('s6', 'Shopping Carts') , 10
('s8', 'eCommerce') , 20
('s9', 'SEO') , 16
('s1', 'CAD/CAM') , 7
('s10', 'Manufacturing Design') , 3
('s2', '3D Rendering') , 50
('s4', 'Mechanical Engineering') , 3
('s5', 'Product Design') , 7
('s6', '3D Design') , 19
('s7', 'Manufacturing') , 1
('s8', 'Solidworks') , 2
('s9', 'AutoCAD') , 6
('s10', 'Wireless') , 1
('s2', 'PCB Layout') , 2
('s3', 'Circuit Design') , 4
('s4', 'Electronics') , 4
('s8', 'C Programming') , 10
('s9', 'Python') , 6
('s4', 'XML') , 4
('s5', 'Drupal') , 3
('s7', 'Web Scraping') , 16
('s8', 'Website Management') , 7
('s9', 'SQL') , 13
('s10', 'Animation') , 3
('s5', 'Photo Editing') , 37
('s8', 'T-Shirts') , 5
('s10', 'Ghostwriting') , 10
('s2', 'Romanian') , 1
('s3', 'Proofreading') , 17
('s6', 'Product Descriptions') , 2
('s7', 'Proposal/Bid Writing') , 2
('s9', 'Copywriting') , 20
('s9', 'Shopping Carts') , 9
('s1', 'Shopify Templates') , 1
('s2', 'Shopify') , 4
('s4', 'Plugin') , 1
('s5', 'Magento') , 12
('s1', 'Asterisk PBX') , 4
('s10', 'Web Hosting') , 9
('s2', 'VoIP') , 5
('s6', 'Apache') , 4
('s1', 'Electronics') , 12
('s5', 'Bluetooth Low Energy (BLE)') , 2
('s6', 'PCB Layout') , 4
('s7', 'Circuit Design') , 3
('s8', 'Embedded Software') , 1
('s9', 'Wireless') , 3
('s2', 'Portuguese') , 1
('s3', 'Sales') , 4
('s4', 'PDF') , 12
('s10', 'Technical Writing') , 11
('s3', 'Editing') , 9
('s7', 'Copywriting') , 18
('s8', 'Article Rewriting') , 11
('s9', 'Content Writing') , 18
('s3', 'Google Adwords') , 2
('s4', 'SQL') , 16
('s5', 'Facebook Marketing') , 4
('s7', 'SEO') , 16
('s8', 'Link Building') , 4
('s10', 'Photo Retouching') , 1
('s5', 'Photography') , 10
('s7', 'Logo Design') , 36
('s8', 'Adobe Lightroom') , 1
('s9', 'Photoshop Coding') , 2
('s3', 'English (UK)') , 13
('s5', 'English (US)') , 20
('s1', 'Arabic') , 3
('s2', 'Adobe Flash') , 2
('s3', 'Translation') , 16
('s4', 'Powerpoint') , 12
('s5', 'PDF') , 7
('s8', 'Internet Research') , 9
('s3', 'Internet Marketing') , 32
('s5', 'PHP') , 39
('s8', 'jQuery / Prototype') , 19
('s10', 'Blog') , 7
('s3', 'Article Rewriting') , 17
('s8', 'Ghostwriting') , 12
('s9', 'Research') , 18
('s7', 'Shopping Carts') , 12
('s10', 'PhoneGap') , 2
('s5', 'Moodle') , 2
('s6', 'SQL') , 5
